0,1,2,3,4,5,6,7,8,9
3.2345968658297746e-158,8.877048832670718e-156,3.8825687171385324e-95,4.163055992807313e-149,2.2577266688001582e-153,1.0,1.7382433615045656e-149,2.4895933776138688e-123,7.646887648861309e-139,8.431560042010425e-159
1.5010293157137565e-164,9.31131070310634e-162,1.985743085409422e-99,6.946027191054737e-155,2.0059130554590696e-161,1.0,2.5703883368078753e-155,7.950579316269015e-127,1.531392475893468e-144,4.905205645463106e-165
1.2349423879776869e-155,7.325210780680908e-153,1.3489663294557669e-91,2.1103286624849187e-146,1.7630710405199088e-153,1.0,7.031781727240938e-147,1.8624008008756253e-122,7.97168273882458e-136,5.313395061952132e-156
1.2511307421634508e-157,5.4580908556609345e-155,1.8427646344145387e-95,4.0816212760241954e-148,8.076279349588731e-156,1.0,6.388012351667959e-149,3.7208504800427205e-124,4.5584132084592016e-138,5.801376750984013e-158
1.4568818428974535e-152,7.769604508185402e-150,9.65090034458961e-90,1.6389839684981946e-143,1.9411921226153635e-150,1.0,5.593409600061092e-144,4.909307913394327e-120,3.9075680868159995e-133,6.424752099768949e-153
1.2511307421634508e-157,5.4580908556609345e-155,1.8427646344145387e-95,4.0816212760241954e-148,8.076279349588731e-156,1.0,6.388012351667959e-149,3.7208504800427205e-124,4.5584132084592016e-138,5.801376750984013e-158
1.7216692039324496e-100,3.206311070045156e-127,9.995922515413192e-107,1.5058100212704553e-95,1.406592101079582e-156,3.3943648261953846e-135,4.712312781491904e-94,3.003718744668104e-155,1.0,3.6191071178642288e-115
1.1754298969873806e-104,2.1886697323974779e-131,9.363728353796744e-110,3.5068082603388294e-100,8.522623170780891e-162,1.496387832608636e-139,1.8705653823247715e-102,6.290066270060854e-160,1.0,3.2553164144358313e-121
1.1754298969873806e-104,2.1886697323974779e-131,9.363728353796744e-110,3.5068082603388294e-100,8.522623170780891e-162,1.496387832608636e-139,1.8705653823247715e-102,6.290066270060854e-160,1.0,3.2553164144358313e-121
4.172852724697561e-100,3.656501933723956e-128,4.684441480358469e-108,2.7717534804791128e-93,2.300372385669268e-158,2.1347665240922854e-136,4.244454767839261e-93,5.6853460638901184e-157,1.0,2.9970190053746917e-113
1.688642955471245e-98,1.8866124820908614e-125,1.8499486535615852e-104,6.797584877824025e-92,5.3057856341011226e-155,1.9551561603719123e-130,1.589098739878735e-93,8.601958678666031e-153,1.0,6.174308651563526e-112
1.0826651409007321e-106,5.953918441168919e-134,6.823375510256498e-112,3.9080798756625845e-102,5.874591970682509e-165,2.8208391418168002e-142,1.9048623754208908e-104,4.71724789651514e-163,1.0,1.406291736132414e-123
1.3333688784207577e-105,4.313938992439119e-133,5.5982819781713354e-108,5.594762431929155e-99,2.731245500815896e-163,6.414127962482572e-140,4.840151303051153e-103,1.8130956482169743e-161,1.0,1.7815030948329068e-122
1.276142911230414e-102,8.045586468280184e-129,1.2849858336525346e-107,3.146738185001056e-98,1.2364280970256888e-158,7.937980271136871e-137,1.8368860577754094e-100,8.387291605129916e-157,1.0,7.535484557552374e-119
4.075289975912552e-108,1.734816809223305e-138,5.676946747281567e-116,7.122739110347072e-106,2.5214802060949296e-170,3.0463754021804874e-147,7.971020157794566e-108,8.971676990511136e-167,1.0,3.7783944563869043e-128
8.529570301235682e-99,3.829336284948164e-127,4.92804616716117e-106,3.409223178422437e-88,1.4151578766433095e-156,3.285337671600628e-134,7.099880063213789e-96,8.27895139465809e-155,1.0,2.22165324765332e-113
2.290248282186001e-103,1.8805374933306553e-128,7.007021443529301e-110,3.9877571794011464e-100,3.969416605421176e-162,9.600689854568795e-140,4.667983363805281e-102,6.942742805731013e-160,1.0,1.0913059762811974e-120
9.972213673284271e-109,1.6196667065976115e-136,4.972213160699311e-114,4.3552675768711664e-104,4.049320277390661e-168,5.3175609227816025e-145,1.9397883677629573e-106,3.537709582344454e-166,1.0,6.075161596387421e-126
1.1754298969873806e-104,2.1886697323974779e-131,9.363728353796744e-110,3.5068082603388294e-100,8.522623170780891e-162,1.496387832608636e-139,1.8705653823247715e-102,6.290066270060854e-160,1.0,3.2553164144358313e-121
2.531059025113401e-96,1.4251397956121274e-126,8.903509964112461e-104,1.8402428306123886e-78,5.6389434638856257e-154,2.282464587960887e-131,2.4329398501076705e-91,1.0964581236703864e-152,1.0,2.890578887812767e-112
8.327590296412995e-101,1.7818908999592207e-128,2.0837427067432312e-107,1.2874393991112907e-93,8.111022818250471e-158,5.19076942607054e-136,3.1435155567078103e-94,1.6267496357921936e-156,1.0,9.328691164906048e-116
1.276142911230414e-102,8.045586468280184e-129,1.2849858336525346e-107,3.146738185001056e-98,1.2364280970256888e-158,7.937980271136871e-137,1.8368860577754094e-100,8.387291605129916e-157,1.0,7.535484557552374e-119
9.972213673284271e-109,1.6196667065976115e-136,4.972213160699311e-114,4.3552675768711664e-104,4.049320277390661e-168,5.3175609227816025e-145,1.9397883677629573e-106,3.537709582344454e-166,1.0,6.075161596387421e-126
1.0826651409007321e-106,5.953918441168919e-134,6.823375510256498e-112,3.9080798756625845e-102,5.874591970682509e-165,2.8208391418168002e-142,1.9048623754208908e-104,4.71724789651514e-163,1.0,1.406291736132414e-123
1.276142911230414e-102,8.045586468280184e-129,1.2849858336525346e-107,3.146738185001056e-98,1.2364280970256888e-158,7.937980271136871e-137,1.8368860577754094e-100,8.387291605129916e-157,1.0,7.535484557552374e-119
5.236773935441206e-107,3.3088595966572193e-135,1.422395875212447e-112,3.3413351855348856e-100,3.3875456492001475e-166,4.313715915332793e-143,1.270705632719494e-104,2.554760265493834e-164,1.0,3.6248916579845718e-124
7.470427561939693e-101,5.411851341807678e-128,8.751985491273106e-107,5.575018384010456e-94,2.8965015043138866e-157,1.828270323336994e-135,1.9448867746084223e-96,9.926250202211799e-156,1.0,2.0480141291469282e-116
1.1754298969873806e-104,2.1886697323974779e-131,9.363728353796744e-110,3.5068082603388294e-100,8.522623170780891e-162,1.496387832608636e-139,1.8705653823247715e-102,6.290066270060854e-160,1.0,3.2553164144358313e-121
2.0089484962607407e-84,2.736853856030598e-104,6.5242606398395605e-75,6.049875430697154e-79,1.0089193970128905e-127,2.9171338677729206e-77,7.318947068521725e-81,1.827078309384681e-119,1.0,3.744450699881389e-97
1.52846959952678e-92,2.398410530253355e-121,1.3579024186903982e-100,2.416411653849516e-86,2.0583237991756723e-146,6.103273871425765e-128,2.5496277027592695e-90,9.345757440224803e-147,1.0,5.332966034191028e-110
1.0826651409007321e-106,5.953918441168919e-134,6.823375510256498e-112,3.9080798756625845e-102,5.874591970682509e-165,2.8208391418168002e-142,1.9048623754208908e-104,4.71724789651514e-163,1.0,1.406291736132414e-123
3.922995006703779e-99,1.1056025173618555e-126,2.5036714357103126e-105,4.277120695275599e-90,2.4231304013229433e-155,1.4831308763236008e-133,1.2740466743581335e-94,7.168250816438092e-154,1.0,1.2219968562385234e-114
6.701493199996666e-101,1.6436558721267371e-127,3.6759456813727943e-106,2.4141586783431026e-94,1.0343604194546541e-156,6.439454540991258e-135,1.2032975786804347e-98,6.056890434091301e-155,1.0,4.4962362255229196e-117
1.9430215173208517e-107,1.3916414975349952e-133,3.7207833164758226e-114,4.952580311933859e-104,1.8859732300319335e-168,3.411699299465917e-145,4.840728022602593e-106,3.9047931606846666e-166,1.0,2.0366249122327236e-125
5.208173344089482e-91,5.0538217226593894e-120,3.092865572311489e-100,3.04907140794719e-82,1.033303051657712e-147,8.305636957429106e-127,1.0296696463995617e-88,1.6921049567962852e-146,1.0,3.672855668678248e-108
5.756759371599608e-101,1.3668176932965495e-126,1.2081968526277001e-104,1.7821372157994526e-96,7.985870885495798e-156,2.0641079669516171e-131,1.1115601084791852e-98,2.0796856243812552e-153,1.0,7.071286547493209e-117
1.276142911230414e-102,8.045586468280184e-129,1.2849858336525346e-107,3.146738185001056e-98,1.2364280970256888e-158,7.937980271136871e-137,1.8368860577754094e-100,8.387291605129916e-157,1.0,7.535484557552374e-119
6.701493199996666e-101,1.6436558721267371e-127,3.6759456813727943e-106,2.4141586783431026e-94,1.0343604194546541e-156,6.439454540991258e-135,1.2032975786804347e-98,6.056890434091301e-155,1.0,4.4962362255229196e-117
6.701493199996666e-101,1.6436558721267371e-127,3.6759456813727943e-106,2.4141586783431026e-94,1.0343604194546541e-156,6.439454540991258e-135,1.2032975786804347e-98,6.056890434091301e-155,1.0,4.4962362255229196e-117
1.1754298969873806e-104,2.1886697323974779e-131,9.363728353796744e-110,3.5068082603388294e-100,8.522623170780891e-162,1.496387832608636e-139,1.8705653823247715e-102,6.290066270060854e-160,1.0,3.2553164144358313e-121
1.276142911230414e-102,8.045586468280184e-129,1.2849858336525346e-107,3.146738185001056e-98,1.2364280970256888e-158,7.937980271136871e-137,1.8368860577754094e-100,8.387291605129916e-157,1.0,7.535484557552374e-119
