0,1,2,3,4,5,6,7,8,9
3.0128680934497246e-143,6.83968123417648e-150,1.0,1.0238549149117924e-122,8.856933477509521e-135,5.209925341468713e-156,5.574683940067044e-147,7.818267500134537e-157,2.997700616294768e-139,4.614007564015872e-86
4.929075734803525e-149,8.2298954593138e-158,1.0,3.214150662249671e-126,1.9698073803218975e-140,5.18876941564457e-162,9.728259158735024e-153,5.066780442843888e-163,9.055314600450389e-145,4.548772307563866e-90
9.159942964396189e-141,3.79836732755162e-150,1.0,6.162834863619251e-122,3.911297782342786e-132,3.635705267941929e-153,1.8622281695331642e-144,3.8649087649593044e-154,6.295955031999744e-137,7.97727884828342e-83
1.0805251327730576e-142,2.4406709206493017e-152,1.0,1.4883058691439681e-123,3.0315400383179887e-134,3.2263887393733736e-155,4.758433584336272e-146,5.566169556900655e-156,1.0447888957872227e-138,1.96318763536995e-86
5.553247754952433e-138,3.5676510524570783e-147,1.0,1.5782512658324482e-119,1.620201472539769e-129,3.889608513045933e-150,1.3163348216165282e-141,4.277730734996552e-151,3.194545062159996e-134,3.8231290871803484e-81
1.0805251327730576e-142,2.4406709206493017e-152,1.0,1.4883058691439681e-123,3.0315400383179887e-134,3.2263887393733736e-155,4.758433584336272e-146,5.566169556900655e-156,1.0447888957872227e-138,1.96318763536995e-86
1.9426599784474734e-95,3.5199399138892837e-156,1.1333016854175285e-134,1.4070385629481544e-155,1.0,1.137212944617219e-127,9.897667263350638e-93,1.622434217182834e-110,2.9378549425341154e-86,8.90142522003396e-96
3.4536079920381416e-99,5.781009201169828e-161,2.066833539696006e-138,8.400564368991351e-160,1.0,2.7786999507120024e-131,8.847226003654254e-97,6.619773272308389e-116,9.639617709058657e-94,3.0131502438863384e-98
3.4536079920381416e-99,5.781009201169828e-161,2.066833539696006e-138,8.400564368991351e-160,1.0,2.7786999507120024e-131,8.847226003654254e-97,6.619773272308389e-116,9.639617709058657e-94,3.0131502438863384e-98
2.462419522429164e-95,1.8537011402144413e-158,2.2206293047784462e-136,8.929767328705803e-158,1.0,3.798624522333067e-129,5.505513894331389e-91,4.1000260422028676e-109,1.1674168364022537e-85,2.7084894520538337e-97
1.6180726798631561e-93,6.38794620094739e-155,3.125378590818935e-130,1.937711129962263e-153,1.0,3.039890688373279e-126,1.7883382091029745e-89,9.906272800009809e-108,7.663887224390122e-86,9.118230384656486e-94
4.084238206630734e-101,4.169558247111649e-164,4.126719606243271e-141,6.384980557998868e-163,1.0,7.653145312920009e-134,1.1572759935506142e-98,3.7106364984760536e-118,1.4484875841823144e-95,3.6881625105603624e-100
8.904604827246391e-100,1.5123900820973056e-162,8.889990360680552e-139,2.39705419715079e-161,1.0,4.436459043414676e-133,1.1495827022057147e-95,3.1672661670890792e-117,3.091519563312396e-94,1.7391061188148547e-96
2.9212851225665875e-97,8.015254188692198e-158,1.0351566186205719e-135,1.1052419803326903e-156,1.0,1.0088889627900155e-128,6.76362202205032e-95,1.1813754489036287e-113,6.415421980771168e-92,2.461679728314251e-96
8.031021647521931e-103,6.164708324089755e-170,1.5700268515327787e-146,3.777826731081874e-167,1.0,9.54630090382601e-139,1.004246044932893e-102,5.1231289974521755e-123,4.086697286603651e-99,3.520099117571025e-104
8.567854626476069e-94,1.9610910802846705e-156,9.125619409759323e-134,3.665858704765595e-155,1.0,9.895655555522502e-128,1.1743555722375034e-85,5.3547359597055e-109,7.982866658412184e-88,2.2459845755925954e-95
3.3728549067887636e-98,8.066395738488615e-162,4.267632149906543e-139,2.7696927162253327e-160,1.0,7.182722389514439e-129,3.3110208718266723e-97,7.52450325694564e-116,8.56671419091527e-94,1.0690021247401477e-98
4.831561186747361e-103,3.0072979160304432e-167,8.239568068393879e-144,4.853004769252452e-166,1.0,2.1078431428585364e-136,1.5138008540509803e-100,2.080640466261036e-120,2.1766560029496696e-97,4.514392693491678e-102
3.4536079920381416e-99,5.781009201169828e-161,2.066833539696006e-138,8.400564368991351e-160,1.0,2.7786999507120024e-131,8.847226003654254e-97,6.619773272308389e-116,9.639617709058657e-94,3.0131502438863384e-98
4.485262717411462e-91,7.443338916526933e-154,5.55775357729008e-131,8.967257877411095e-153,1.0,3.4149613418015376e-127,4.8698199437992194e-76,5.934294173818755e-108,3.6904577588037054e-83,2.0923730877882125e-93
1.1043920785656887e-95,1.7304382120975092e-157,1.5177643138480155e-135,7.731178175761142e-157,1.0,5.367164139345479e-129,7.233349933715136e-91,3.848906370752458e-111,2.469888236270586e-86,1.8866836350073855e-96
2.9212851225665875e-97,8.015254188692198e-158,1.0351566186205719e-135,1.1052419803326903e-156,1.0,1.0088889627900155e-128,6.76362202205032e-95,1.1813754489036287e-113,6.415421980771168e-92,2.461679728314251e-96
4.831561186747361e-103,3.0072979160304432e-167,8.239568068393879e-144,4.853004769252452e-166,1.0,2.1078431428585364e-136,1.5138008540509803e-100,2.080640466261036e-120,2.1766560029496696e-97,4.514392693491678e-102
4.084238206630734e-101,4.169558247111649e-164,4.126719606243271e-141,6.384980557998868e-163,1.0,7.653145312920009e-134,1.1572759935506142e-98,3.7106364984760536e-118,1.4484875841823144e-95,3.6881625105603624e-100
2.9212851225665875e-97,8.015254188692198e-158,1.0351566186205719e-135,1.1052419803326903e-156,1.0,1.0088889627900155e-128,6.76362202205032e-95,1.1813754489036287e-113,6.415421980771168e-92,2.461679728314251e-96
2.3226569896906163e-101,2.0497574536527545e-165,5.526565817326501e-142,3.508252501837308e-164,1.0,3.611890908105383e-135,8.457539200657446e-97,8.806968105008485e-119,1.2178273131354692e-95,7.817018975149946e-101
1.2456426509178278e-95,9.722980545782173e-157,1.0265505941031512e-134,7.859434485143962e-156,1.0,3.046084871604656e-128,5.228069387598501e-91,1.387644258553603e-111,2.977597408291354e-88,8.967800531681511e-96
3.4536079920381416e-99,5.781009201169828e-161,2.066833539696006e-138,8.400564368991351e-160,1.0,2.7786999507120024e-131,8.847226003654254e-97,6.619773272308389e-116,9.639617709058657e-94,3.0131502438863384e-98
7.701302749533118e-78,3.706329812529263e-127,3.28343541973265e-77,4.638310500246421e-120,1.0,4.425772034018321e-105,1.0230756760277118e-76,1.4808894073401464e-93,8.048035492242e-73,5.54574731565596e-65
3.8168252823136703e-88,1.301177430525822e-146,6.28780322281733e-128,1.866352977507892e-147,1.0,3.786486049216652e-122,3.786321260471676e-84,3.9566881166269915e-106,4.5246090735681836e-83,1.1123326919314621e-90
4.084238206630734e-101,4.169558247111649e-164,4.126719606243271e-141,6.384980557998868e-163,1.0,7.653145312920009e-134,1.1572759935506142e-98,3.7106364984760536e-118,1.4484875841823144e-95,3.6881625105603624e-100
5.992468909301331e-94,6.627356204947732e-155,6.88566889052498e-133,5.681804668856203e-154,1.0,5.219792159947349e-127,2.9209236713238497e-87,5.877106029408114e-110,1.6662178941141782e-86,1.552896987111174e-94
1.4051027131132054e-95,5.46316583015026e-156,6.94317364032567e-134,7.989848793687197e-155,1.0,1.7287841367945881e-127,3.778816116518673e-91,5.003008254272655e-112,3.589684228755705e-90,4.2625986567432365e-95
4.7193343136495976e-102,4.1961568055610875e-168,1.701317287613923e-144,1.6000488224434126e-166,1.0,5.448602292174177e-134,5.66529487151292e-101,2.3650123614242257e-120,1.9343705700275066e-97,1.601609023225206e-102
1.9291387471795133e-86,9.248184198745808e-148,1.2324531128028904e-126,5.731235415256445e-147,1.0,1.17419020487719e-120,5.279550184483693e-80,3.488480246107683e-104,2.5790732188603263e-81,2.394862616164856e-90
